Category,Set,List,Expressivity,Particle,Position,Modifier,Particle,Verb,Sentence
E-DP-IS,1,1,expressive,double,in situ,yes,raus,rausschmeissen,Der Chef hat den faulen Kerl regelrecht rausgeschmissen.
E-DP-TOP,1,2,expressive,double,topicalized,no,raus,rausschmeissen,Raus hat der Chef den faulen Kerl geschmissen.
NE-DP-IS,1,2,not expressive,double,in situ,yes,raus,rausbringen,Die Band hat ihr neues Album regelrecht rausgebracht.
NE-DP-TOP,1,1,not expressive,double,topicalized,no,raus,rausbringen,Raus hat die Band ihr neues Album gebracht.
E-DP-IS,2,2,expressive,double,in situ,yes,runter,runtermachen,Der Lehrer hat die arme Lisa regelrecht runtergemacht.
E-DP-TOP,2,1,expressive,double,topicalized,no,runter,runtermachen,Runter hat der Lehrer die arme Lisa gemacht.
NE-DP-IS,2,1,not expressive,double,in situ,yes,runter,runterschlucken,Max hat das Kaugummi regelrecht runtergeschluckt.
NE-DP-TOP,2,2,not expressive,double,topicalized,no,runter,runterschlucken,Runter hat Max das Kaugummi geschluckt.
E-DP-IS,3,1,expressive,double,in situ,yes,rein,reinreissen,Fred hat Oskar in diese Angelegenheit ganz und gar reingerissen.
E-DP-TOP,3,2,expressive,double,topicalized,no,rein,reinreissen,Rein hat Fred seinen besten Freund in diese Angelegenheit gerissen.
NE-DP-IS,3,2,not expressive,double,in situ,yes,rein,reinschreiben,Susi hat in das Poesiealbum ganz und gar reingeschrieben.
NE-DP-TOP,3,1,not expressive,double,topicalized,no,rein,reinschreiben,Rein hat Susi in das Poesiealbum geschrieben.
E-DP-IS,4,2,expressive,double,in situ,yes,ran,ranschmeissen,Uwe hat sich an Maria total rangeschmissen.
E-DP-TOP,4,1,expressive,double,topicalized,no,ran,ranschmeissen,Ran hat Uwe sich an Maria geschmissen.
NE-DP-IS,4,1,not expressive,double,in situ,yes,ran,ranschreiben,Der Professor hat seine Lösung an die Tafel total rangeschrieben.
NE-DP-TOP,4,2,not expressive,double,topicalized,no,ran,ranschreiben,Ran hat der Professor seine Lösung an die Tafel geschrieben.
E-DP-IS,5,1,expressive,double,in situ,yes,raus,rausfliegen,Fritz ist aus seinem neuen Job regelrecht rausgeflogen.
E-DP-TOP,5,2,expressive,double,topicalized,no,raus,rausfliegen,Raus ist Fritz aus seinem neuen Job geflogen.
NE-DP-IS,5,2,not expressive,double,in situ,yes,raus,rausstellen,Der Forscher hat das Problem noch einmal regelrecht rausgestellt.
NE-DP-TOP,5,1,not expressive,double,topicalized,no,raus,rausstellen,Raus hat der Forscher das Problem noch einmal gestellt.
E-DP-IS,6,2,expressive,double,in situ,yes,rein,reinziehen,Peter hat sich die vier Flaschen Bier geradezu reingezogen.
E-DP-TOP,6,1,expressive,double,topicalized,no,rein,reinziehen,Rein hat sich Peter die vier Flaschen Bier gezogen.
NE-DP-IS,6,1,not expressive,double,in situ,yes,rein,reinstecken,Der Handwerker hat den Schlüssel ins Schloss geradezu reingesteckt.
NE-DP-TOP,6,2,not expressive,double,topicalized,no,rein,reinstecken,Rein hat der Handwerker den Schlüssel ins Schloss gesteckt.
E-SP-IS,7,1,expressive,single,in situ,yes,aus,ausflippen,Ihre Schwester ist total ausgeflippt.
E-SP-TOP,7,2,expressive,single,topicalized,no,aus,ausflippen,Aus ist ihre Schwester geflippt.
NE-SP-IS,7,2,not expressive,single,in situ,yes,aus,ausgehen,Hans ist heute Abend total ausgegangen.
NE-SP-TOP,7,1,not expressive,single,topicalized,no,aus,ausgehen,Aus ist Hans heute Abend gegangen.
E-SP-IS,8,2,expressive,single,in situ,yes,auf,aufmotzen,Katja hat sich regelrecht aufgemotzt.
E-SP-TOP,8,1,expressive,single,topicalized,no,auf,aufmotzen,Auf hat Katja sich gemotzt.
NE-SP-IS,8,1,not expressive,single,in situ,yes,auf,aufnehmen,Anna hat sich mit ihrem neuen Mikrofon regelrecht aufgenommen.
NE-SP-TOP,8,2,not expressive,single,topicalized,no,auf,aufnehmen,Auf hat Anna sich mit ihrem neuen Mikrofon genommen.
E-SP-IS,9,1,expressive,single,in situ,yes,ab,abgehen,Karl und Frieda sind auf der Tanzfläche absolut abgegangen.
E-SP-TOP,9,2,expressive,single,topicalized,no,ab,abgehen,Ab sind Karl und Frieda auf der Tanzfläche gegangen.
NE-SP-IS,9,2,not expressive,single,in situ,yes,ab,abgeben,Die Ministerin hat den Posten absolut abgegeben.
NE-SP-TOP,9,1,not expressive,single,topicalized,no,ab,abgeben,Ab hat die Ministerin den Posten gegeben.
E-SP-IS,10,2,expressive,single,in situ,yes,nach,nachrennen,Sebastian ist seiner Exfreundin monatelang regelrecht nachgerannt.
E-SP-TOP,10,1,expressive,single,topicalized,no,nach,nachrennen,Nach ist Sebastian seiner Exfreundin monatelang gerannt.
NE-SP-IS,10,1,not expressive,single,in situ,yes,nach,nachschauen,Der Schüler hat in seinem Lexikon regelrecht nachgeschaut.
NE-SP-TOP,10,2,not expressive,single,topicalized,no,nach,nachschauen,Nach hat der Schüler in seinem Lexikon geschaut.
E-SP-IS,11,1,expressive,single,in situ,yes,ab,absahnen,Thomas hat bei der letzten Runde Poker absolut abgesahnt.
E-SP-TOP,11,2,expressive,single,topicalized,no,ab,absahnen,Ab hat Thomas bei der letzten Runde Poker gesahnt.
NE-SP-IS,11,2,not expressive,single,in situ,yes,ab,abholen,Markus hat seine Freundin absolut abgeholt.
NE-SP-TOP,11,1,not expressive,single,topicalized,no,ab,abholen,Ab hat Markus seine Freundin geholt.
E-SP-IS,12,2,expressive,single,in situ,yes,ein,einbrechen,Stefan ist bei der Prüfung völlig eingebrochen.
E-SP-TOP,12,1,expressive,single,topicalized,no,ein,einbrechen,Ein ist Stefan bei der Prüfung gebrochen.
NE-SP-IS,12,1,not expressive,single,in situ,yes,ein,einbringen,Der Politiker hat das Thema in die Diskussion völlig eingebracht.
NE-SP-TOP,12,2,not expressive,single,topicalized,no,ein,einbringen,Ein hat der Politiker das Thema in die Diskussion gebracht.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Annas Hose war regelrecht knallgrün.
ADJ,FILLER,both,baseline,FILLER,FILLER,no,FILLER,FILLER,Fraukes Pullover war grün.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Roberts Sofa war regelrecht grau.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Christinas Schuhe sind ganz und gar umwerfend.
ADJ,FILLER,both,baseline,FILLER,FILLER,no,FILLER,FILLER,Inas Rucksack ist neu.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Volkers Mützen sind ganz und gar groß.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Der neue Bahnhof ist geradezu gigantisch.
ADJ,FILLER,both,baseline,FILLER,FILLER,no,FILLER,FILLER,Das alte Haus am Stadtrand ist klein.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Das Gebäude für den Kindergarten wird geradezu groß.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Seine Schulleistungen waren einfach exzellent.
ADJ,FILLER,both,baseline,FILLER,FILLER,no,FILLER,FILLER,Ihre Aufsätze waren gut.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Lisas Zeugnisse waren einfach ausreichend.
GOOD,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,"Man sagt, Stalin hatte schon als Kind einen absoluten Dickschädel."
GOOD,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,Der kleine Junge hatte eine richtige Blase an seinem Daumen.
GOOD,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,Einen regelrechten Schock löste der Anschlag auf die Bevölkerung aus.
GOOD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Der Apfelkuchen wurde ganz schnell aufgegessen.
GOOD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Politische Entscheidungen werden meist kritisch hinterfragt.
